City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
83,la tuque,47.4334,-72.7824,18.14,82,100,0.51,CA,1691889061
84,hami,42.8,93.45,30.45,25,6,3.41,CN,1691889344
85,san patricio,28.017,-97.5169,32.4,67,0,7.59,US,1691889344
86,butembo,0.15,29.2833,15.12,93,100,0.91,CD,1691889344
87,clyde river,70.4692,-68.5914,4.13,100,100,3.09,CA,1691889345
88,nowa deba,50.4297,21.7508,14.35,76,6,1.84,PL,1691889345
89,neryungri,56.6709,124.6491,15.72,92,100,1.48,RU,1691889346
90,kyshtovka,56.555,76.6271,7.89,82,100,3.5,RU,1691889346
91,hithadhoo,-0.6,73.0833,27.35,76,99,7.17,MV,1691889346
92,cabo san lucas,22.8909,-109.9124,33.67,72,20,6.69,MX,1691889347
93,caravelas,-17.7125,-39.2481,21.79,88,21,2.48,BR,1691889347
94,pevek,69.7008,170.3133,5.42,79,1,2.47,RU,1691889347
95,thompson,55.7435,-97.8558,20.09,64,75,1.03,CA,1691889347
96,ajaccio,42.0,8.9167,20.03,68,0,2.57,FR,1691889348
97,vallenar,-28.5708,-70.7581,16.71,59,0,1.16,CL,1691889348
98,northam,51.0333,-4.2167,17.59,94,95,6.43,GB,1691889348
99,west wendover,40.7391,-114.0733,32.56,18,0,4.63,US,1691889349
100,aklavik,68.2191,-135.0107,7.51,76,100,4.57,CA,1691889349
101,ponta do sol,32.6667,-17.1,27.35,47,0,3.38,PT,1691889350
102,souillac,-20.5167,57.5167,22.21,94,40,4.12,MU,1691889350
103,portland,45.5234,-122.6762,32.67,37,20,5.66,US,1691889207
104,cidreira,-30.1811,-50.2056,11.1,60,4,5.45,BR,1691889351
105,canhotinho,-8.8822,-36.1911,17.46,98,65,1.4,BR,1691889351
106,kodiak,57.79,-152.4072,13.73,88,100,5.14,US,1691889351
107,tayga,56.06,85.6197,10.51,96,96,3.23,RU,1691889352
108,hokitika,-42.7167,170.9667,11.1,85,100,2.99,NZ,1691889352
109,saint-francois,46.4154,3.9054,19.69,88,0,0.0,FR,1691889352
110,te anau,-45.4167,167.7167,5.24,97,100,2.5,NZ,1691889353
111,busselton,-33.65,115.3333,11.52,75,6,1.89,AU,1691889225
112,kaita,34.3667,132.55,30.89,65,0,0.5,JP,1691889353
113,guerrero negro,27.9769,-114.0611,22.05,77,21,8.4,MX,1691889353
114,moron,-34.6534,-58.6198,8.86,45,33,1.24,AR,1691889354
115,garmsar,35.2182,52.3409,27.67,22,0,2.52,IR,1691889354
116,chokurdakh,70.6333,147.9167,15.47,57,56,5.63,RU,1691889355
117,barrow,71.2906,-156.7887,7.01,87,100,5.66,US,1691889355
118,broken hill,-31.95,141.4333,17.11,44,85,1.94,AU,1691889355
119,kudahuvadhoo,2.6708,72.8944,28.3,71,88,6.39,MV,1691889348
120,majalgaon,19.15,76.2333,23.51,81,79,3.0,IN,1691889356
121,talnakh,69.4865,88.3972,6.23,63,0,2.25,RU,1691889356
122,tiksi,71.6872,128.8694,3.96,79,22,4.02,RU,1691889357
123,ruwi,23.5996,58.5507,34.83,63,0,1.59,OM,1691889357
124,saint-philippe,-21.3585,55.7679,20.77,88,81,6.34,RE,1691889357
125,marsa matruh,31.3525,27.2453,25.0,67,0,2.52,EG,1691889358
126,klaksvik,62.2266,-6.589,10.51,99,70,4.58,FO,1691889358
127,alice springs,-23.7,133.8833,25.75,22,5,6.69,AU,1691889358
128,ribeira grande,38.5167,-28.7,23.21,94,100,0.89,PT,1691889359
129,surt,31.2089,16.5887,25.38,67,0,3.75,LY,1691889359
130,laguna,38.421,-121.4238,37.18,25,0,3.6,US,1691889359
131,mahebourg,-20.4081,57.7,22.36,94,40,4.12,MU,1691889360
132,melville,40.7934,-73.4151,25.31,82,0,1.79,US,1691889360
133,natal,-5.795,-35.2094,23.36,94,40,4.12,BR,1691889360
134,carnarvon,-24.8667,113.6333,20.04,61,0,5.56,AU,1691889361
135,sri aman,1.2376,111.4621,27.03,83,20,2.06,MY,1691889361
136,anadyr,64.75,177.4833,14.28,62,40,6.71,RU,1691889361
137,yabelo,4.8833,38.0833,14.4,72,3,2.58,ET,1691889362
138,hobyo,5.3505,48.5268,24.86,86,61,9.84,SO,1691889362
139,college,64.8569,-147.8028,22.34,51,100,6.17,US,1691889362
140,mar del plata,-38.0023,-57.5575,5.05,84,100,2.24,AR,1691889101
141,nikolskoye,59.7035,30.7861,18.94,89,100,2.23,RU,1691889363
142,weinan,34.5036,109.5089,28.9,56,0,1.4,CN,1691889364
143,berck,50.4,1.6,17.99,88,100,3.6,FR,1691889364
144,berlevag,70.8578,29.0864,14.89,88,75,4.12,NO,1691889365
145,sorkjosen,69.8,20.9333,11.0,93,100,0.0,NO,1691889365
146,rawson,-43.3002,-65.1023,7.61,54,100,11.18,AR,1691889366
147,mizan teferi,6.9833,35.5833,15.6,87,85,1.48,ET,1691889366
148,keetmanshoop,-26.5833,18.1333,11.31,69,4,3.03,NA,1691889366
149,baruun-urt,46.6806,113.2792,22.88,43,68,3.92,MN,1691889367
150,codrington,-38.2667,141.9667,9.74,74,99,1.89,AU,1691889367
151,christchurch,-43.5333,172.6333,16.9,63,0,3.09,NZ,1691889225
152,port lincoln,-34.7333,135.8667,13.61,75,88,6.26,AU,1691889369
153,altay,47.8667,88.1167,16.22,75,100,1.24,CN,1691889369
154,bengkulu,-3.8004,102.2655,25.48,79,11,2.56,ID,1691889370
155,tuktoyaktuk,69.4541,-133.0374,6.0,87,100,4.12,CA,1691889370
156,the valley,18.217,-63.0578,29.34,79,100,8.41,AI,1691889370
157,namibe,-15.1961,12.1522,16.23,75,0,4.08,AO,1691889371
158,sibolga,1.7427,98.7792,25.71,81,96,0.78,ID,1691889371
159,novoagansk,61.9449,76.6625,8.73,58,0,5.09,RU,1691889372
160,nizwa,22.9333,57.5333,29.51,52,5,1.17,OM,1691889372
161,skofljica,45.9833,14.5767,16.12,90,10,0.36,SI,1691889372
162,nipawin,53.3668,-104.0009,17.02,88,0,2.06,CA,1691889373
163,nova vicosa,-17.8919,-39.3719,22.33,87,50,3.76,BR,1691889373
164,vocklabruck,48.0167,13.65,20.09,82,100,1.91,AT,1691889374
165,mandalgovi,45.7625,106.2708,24.17,34,100,5.3,MN,1691889375
166,bethel,41.3712,-73.414,25.2,84,75,5.66,US,1691889375
167,kirakira,-10.4544,161.9205,27.19,72,43,6.18,SB,1691889376
168,gat,31.61,34.7642,28.38,100,52,1.97,IL,1691889377
169,svetlyy,54.675,20.1347,17.2,68,20,3.82,RU,1691889377
170,vanavara,60.34,102.2797,20.61,65,59,2.76,RU,1691889378
171,port hedland,-20.3167,118.5667,25.03,44,6,0.0,AU,1691889379
172,haicheng,40.8516,122.7475,21.61,98,100,5.57,CN,1691889267
